,Date,Rate
1,2005-01-01,{'USD': 1.358363}
2,2005-01-01,{'GBP': 0.705819}
3,2005-01-01,{'JPY': 139.436301}
4,2005-01-01,{'CNY': 11.23808}
5,2006-01-01,{'USD': 1.181562}
6,2006-01-01,{'GBP': 0.686612}
7,2006-01-01,{'JPY': 139.22724}
8,2006-01-01,{'CNY': 9.537388}
9,2007-01-01,{'USD': 1.315192}
10,2007-01-01,{'GBP': 0.670411}
11,2007-01-01,{'JPY': 156.436232}
12,2007-01-01,{'CNY': 10.266779}
13,2008-01-01,{'USD': 1.462424}
14,2008-01-01,{'GBP': 0.735121}
15,2008-01-01,{'JPY': 163.416069}
16,2008-01-01,{'CNY': 10.685003}
17,2009-01-01,{'USD': 1.394492}
18,2009-01-01,{'GBP': 0.956164}
19,2009-01-01,{'JPY': 126.598325}
20,2009-01-01,{'CNY': 9.517772}
21,2010-01-01,{'USD': 1.4342}
22,2010-01-01,{'GBP': 0.886657}
23,2010-01-01,{'JPY': 133.252538}
24,2010-01-01,{'CNY': 9.793804}
25,2011-01-01,{'USD': 1.33737}
26,2011-01-01,{'GBP': 0.859052}
27,2011-01-01,{'JPY': 108.47771}
28,2011-01-01,{'CNY': 8.824843}
29,2012-01-01,{'USD': 1.294525}
30,2012-01-01,{'GBP': 0.834192}
31,2012-01-01,{'JPY': 99.908411}
32,2012-01-01,{'CNY': 8.160873}
33,2013-01-01,{'USD': 1.320739}
34,2013-01-01,{'GBP': 0.81311}
35,2013-01-01,{'JPY': 114.352908}
36,2013-01-01,{'CNY': 8.255507}
37,2014-01-01,{'USD': 1.375574}
38,2014-01-01,{'GBP': 0.830368}
39,2014-01-01,{'JPY': 144.835474}
40,2014-01-01,{'CNY': 8.343407}
41,2005-02-01,{'USD': 1.303526}
42,2005-02-01,{'GBP': 0.692797}
43,2005-02-01,{'JPY': 135.229122}
44,2005-02-01,{'CNY': 10.787422}
45,2006-02-01,{'USD': 1.207546}
46,2006-02-01,{'GBP': 0.680018}
47,2006-02-01,{'JPY': 142.240326}
48,2006-02-01,{'CNY': 9.734399}
49,2007-02-01,{'USD': 1.30208}
50,2007-02-01,{'GBP': 0.661522}
51,2007-02-01,{'JPY': 157.021385}
52,2007-02-01,{'CNY': 10.102855}
53,2008-02-01,{'USD': 1.483206}
54,2008-02-01,{'GBP': 0.751048}
55,2008-02-01,{'JPY': 157.857106}
56,2008-02-01,{'CNY': 10.659927}
57,2009-02-01,{'USD': 1.280511}
58,2009-02-01,{'GBP': 0.891473}
59,2009-02-01,{'JPY': 114.987067}
60,2009-02-01,{'CNY': 8.760117}
61,2010-02-01,{'USD': 1.391783}
62,2010-02-01,{'GBP': 0.873704}
63,2010-02-01,{'JPY': 126.027449}
64,2010-02-01,{'CNY': 9.502461}
65,2011-02-01,{'USD': 1.380479}
66,2011-02-01,{'GBP': 0.855958}
67,2011-02-01,{'JPY': 112.470454}
68,2011-02-01,{'CNY': 9.098939}
69,2012-02-01,{'USD': 1.316874}
70,2012-02-01,{'GBP': 0.831149}
71,2012-02-01,{'JPY': 100.279857}
72,2012-02-01,{'CNY': 8.305167}
73,2013-02-01,{'USD': 1.365048}
74,2013-02-01,{'GBP': 0.867289}
75,2013-02-01,{'JPY': 125.907455}
76,2013-02-01,{'CNY': 8.51963}
77,2014-02-01,{'USD': 1.348849}
78,2014-02-01,{'GBP': 0.820484}
79,2014-02-01,{'JPY': 137.759805}
80,2014-02-01,{'CNY': 8.188016}
81,2005-03-01,{'USD': 1.319134}
82,2005-03-01,{'GBP': 0.686801}
83,2005-03-01,{'JPY': 137.639276}
84,2005-03-01,{'CNY': 10.916589}
85,2006-03-01,{'USD': 1.191541}
86,2006-03-01,{'GBP': 0.680712}
87,2006-03-01,{'JPY': 138.282796}
88,2006-03-01,{'CNY': 9.578394}
89,2007-03-01,{'USD': 1.319312}
90,2007-03-01,{'GBP': 0.672863}
91,2007-03-01,{'JPY': 155.078072}
92,2007-03-01,{'CNY': 10.216057}
93,2008-03-01,{'USD': 1.517997}
94,2008-03-01,{'GBP': 0.764627}
95,2008-03-01,{'JPY': 157.988703}
96,2008-03-01,{'CNY': 10.799022}
97,2009-03-01,{'USD': 1.267034}
98,2009-03-01,{'GBP': 0.889866}
99,2009-03-01,{'JPY': 123.725222}
100,2009-03-01,{'CNY': 8.66461}
101,2010-03-01,{'USD': 1.354021}
102,2010-03-01,{'GBP': 0.905197}
103,2010-03-01,{'JPY': 120.767524}
104,2010-03-01,{'CNY': 9.243916}
105,2011-03-01,{'USD': 1.379489}
106,2011-03-01,{'GBP': 0.84744}
107,2011-03-01,{'JPY': 113.028627}
108,2011-03-01,{'CNY': 9.063683}
109,2012-03-01,{'USD': 1.331739}
110,2012-03-01,{'GBP': 0.834498}
111,2012-03-01,{'JPY': 108.15829}
112,2012-03-01,{'CNY': 8.38827}
113,2013-03-01,{'USD': 1.302658}
114,2013-03-01,{'GBP': 0.866412}
115,2013-03-01,{'JPY': 121.356333}
116,2013-03-01,{'CNY': 8.12254}
117,2014-03-01,{'USD': 1.380188}
118,2014-03-01,{'GBP': 0.824291}
119,2014-03-01,{'JPY': 140.528667}
120,2014-03-01,{'CNY': 8.477741}
121,2005-04-01,{'USD': 1.291129}
122,2005-04-01,{'GBP': 0.685725}
123,2005-04-01,{'JPY': 138.76957}
124,2005-04-01,{'CNY': 10.684624}
125,2006-04-01,{'USD': 1.210966}
126,2006-04-01,{'GBP': 0.697122}
127,2006-04-01,{'JPY': 142.51852}
128,2006-04-01,{'CNY': 9.708629}
129,2007-04-01,{'USD': 1.333632}
130,2007-04-01,{'GBP': 0.679244}
131,2007-04-01,{'JPY': 157.328059}
132,2007-04-01,{'CNY': 10.309653}
133,2008-04-01,{'USD': 1.561507}
134,2008-04-01,{'GBP': 0.788645}
135,2008-04-01,{'JPY': 158.379894}
136,2008-04-01,{'CNY': 10.949434}
137,2009-04-01,{'USD': 1.324779}
138,2009-04-01,{'GBP': 0.920708}
139,2009-04-01,{'JPY': 130.33253}
140,2009-04-01,{'CNY': 9.054373}
141,2010-04-01,{'USD': 1.355971}
142,2010-04-01,{'GBP': 0.888371}
143,2010-04-01,{'JPY': 127.208379}
144,2010-04-01,{'CNY': 9.257233}
145,2011-04-01,{'USD': 1.420868}
146,2011-04-01,{'GBP': 0.883047}
147,2011-04-01,{'JPY': 119.346254}
148,2011-04-01,{'CNY': 9.303066}
149,2012-04-01,{'USD': 1.333522}
150,2012-04-01,{'GBP': 0.837228}
151,2012-04-01,{'JPY': 110.633746}
152,2012-04-01,{'CNY': 8.40245}
153,2013-04-01,{'USD': 1.28358}
154,2013-04-01,{'GBP': 0.843193}
155,2013-04-01,{'JPY': 120.065678}
156,2013-04-01,{'CNY': 7.982115}
157,2014-04-01,{'USD': 1.379373}
158,2014-04-01,{'GBP': 0.829471}
159,2014-04-01,{'JPY': 142.800845}
160,2014-04-01,{'CNY': 8.551912}
161,2005-05-01,{'USD': 1.291002}
162,2005-05-01,{'GBP': 0.676088}
163,2005-05-01,{'JPY': 135.53561}
164,2005-05-01,{'CNY': 10.68072}
165,2006-05-01,{'USD': 1.259103}
166,2006-05-01,{'GBP': 0.690724}
167,2006-05-01,{'JPY': 142.836986}
168,2006-05-01,{'CNY': 10.093606}
169,2007-05-01,{'USD': 1.360987}
170,2007-05-01,{'GBP': 0.68105}
171,2007-05-01,{'JPY': 162.949599}
172,2007-05-01,{'CNY': 10.488592}
173,2008-05-01,{'USD': 1.547207}
174,2008-05-01,{'GBP': 0.784162}
175,2008-05-01,{'JPY': 161.623606}
176,2008-05-01,{'CNY': 10.812932}
177,2009-05-01,{'USD': 1.326848}
178,2009-05-01,{'GBP': 0.8908}
179,2009-05-01,{'JPY': 131.521292}
180,2009-05-01,{'CNY': 9.049757}
181,2010-05-01,{'USD': 1.330394}
182,2010-05-01,{'GBP': 0.870313}
183,2010-05-01,{'JPY': 125.27154}
184,2010-05-01,{'CNY': 9.083755}
185,2011-05-01,{'USD': 1.483473}
186,2011-05-01,{'GBP': 0.889021}
187,2011-05-01,{'JPY': 120.482267}
188,2011-05-01,{'CNY': 9.629246}
189,2012-05-01,{'USD': 1.322891}
190,2012-05-01,{'GBP': 0.815277}
191,2012-05-01,{'JPY': 106.026527}
192,2012-05-01,{'CNY': 8.332001}
193,2013-05-01,{'USD': 1.318364}
194,2013-05-01,{'GBP': 0.847353}
195,2013-05-01,{'JPY': 128.432707}
196,2013-05-01,{'CNY': 8.14417}
197,2014-05-01,{'USD': 1.386913}
198,2014-05-01,{'GBP': 0.821145}
199,2014-05-01,{'JPY': 141.939126}
200,2014-05-01,{'CNY': 8.655164}
201,2005-06-01,{'USD': 1.221849}
202,2005-06-01,{'GBP': 0.674884}
203,2005-06-01,{'JPY': 132.708552}
204,2005-06-01,{'CNY': 10.111306}
205,2006-06-01,{'USD': 1.279718}
206,2006-06-01,{'GBP': 0.686559}
207,2006-06-01,{'JPY': 144.374549}
208,2006-06-01,{'CNY': 10.26336}
209,2007-06-01,{'USD': 1.344044}
210,2007-06-01,{'GBP': 0.678753}
211,2007-06-01,{'JPY': 163.992174}
212,2007-06-01,{'CNY': 10.278529}
213,2008-06-01,{'USD': 1.553244}
214,2008-06-01,{'GBP': 0.785736}
215,2008-06-01,{'JPY': 163.860693}
216,2008-06-01,{'CNY': 10.784971}
217,2009-06-01,{'USD': 1.418202}
218,2009-06-01,{'GBP': 0.863707}
219,2009-06-01,{'JPY': 136.078968}
220,2009-06-01,{'CNY': 9.682501}
221,2010-06-01,{'USD': 1.222654}
222,2010-06-01,{'GBP': 0.836261}
223,2010-06-01,{'JPY': 111.335013}
224,2010-06-01,{'CNY': 8.349835}
225,2011-06-01,{'USD': 1.438104}
226,2011-06-01,{'GBP': 0.877737}
227,2011-06-01,{'JPY': 116.532646}
228,2011-06-01,{'CNY': 9.316314}
229,2012-06-01,{'USD': 1.240196}
230,2012-06-01,{'GBP': 0.808179}
231,2012-06-01,{'JPY': 96.890636}
232,2012-06-01,{'CNY': 7.899936}
233,2013-06-01,{'USD': 1.299039}
234,2013-06-01,{'GBP': 0.854982}
235,2013-06-01,{'JPY': 130.657673}
236,2013-06-01,{'CNY': 7.983323}
237,2014-06-01,{'USD': 1.362788}
238,2014-06-01,{'GBP': 0.81338}
239,2014-06-01,{'JPY': 138.715165}
240,2014-06-01,{'CNY': 8.492923}
241,2005-07-01,{'USD': 1.197754}
242,2005-07-01,{'GBP': 0.675175}
243,2005-07-01,{'JPY': 133.498486}
244,2005-07-01,{'CNY': 9.911891}
245,2006-07-01,{'USD': 1.275026}
246,2006-07-01,{'GBP': 0.691959}
247,2006-07-01,{'JPY': 146.005502}
248,2006-07-01,{'CNY': 10.192616}
249,2007-07-01,{'USD': 1.352022}
250,2007-07-01,{'GBP': 0.674101}
251,2007-07-01,{'JPY': 166.651212}
252,2007-07-01,{'CNY': 10.293402}
253,2008-07-01,{'USD': 1.578363}
254,2008-07-01,{'GBP': 0.791541}
255,2008-07-01,{'JPY': 166.979745}
256,2008-07-01,{'CNY': 10.825201}
257,2009-07-01,{'USD': 1.415298}
258,2009-07-01,{'GBP': 0.858612}
259,2009-07-01,{'JPY': 136.740352}
260,2009-07-01,{'CNY': 9.670606}
261,2010-07-01,{'USD': 1.245837}
262,2010-07-01,{'GBP': 0.825214}
263,2010-07-01,{'JPY': 109.289835}
264,2010-07-01,{'CNY': 8.448055}
265,2011-07-01,{'USD': 1.451223}
266,2011-07-01,{'GBP': 0.904289}
267,2011-07-01,{'JPY': 117.209226}
268,2011-07-01,{'CNY': 9.382664}
269,2012-07-01,{'USD': 1.26272}
270,2012-07-01,{'GBP': 0.806768}
271,2012-07-01,{'JPY': 100.629008}
272,2012-07-01,{'CNY': 8.017342}
273,2013-07-01,{'USD': 1.305805}
274,2013-07-01,{'GBP': 0.857983}
275,2013-07-01,{'JPY': 129.984259}
276,2013-07-01,{'CNY': 8.021346}
277,2014-07-01,{'USD': 1.367914}
278,2014-07-01,{'GBP': 0.797628}
279,2014-07-01,{'JPY': 138.847122}
280,2014-07-01,{'CNY': 8.46881}
281,2005-08-01,{'USD': 1.220408}
282,2005-08-01,{'GBP': 0.689882}
283,2005-08-01,{'JPY': 136.702633}
284,2005-08-01,{'CNY': 9.890915}
285,2006-08-01,{'USD': 1.279399}
286,2006-08-01,{'GBP': 0.683785}
287,2006-08-01,{'JPY': 146.778398}
288,2006-08-01,{'CNY': 10.200994}
289,2007-08-01,{'USD': 1.366542}
290,2007-08-01,{'GBP': 0.673936}
291,2007-08-01,{'JPY': 162.023942}
292,2007-08-01,{'CNY': 10.343613}
293,2008-08-01,{'USD': 1.555585}
294,2008-08-01,{'GBP': 0.787646}
295,2008-08-01,{'JPY': 167.376072}
296,2008-08-01,{'CNY': 10.645148}
297,2009-08-01,{'USD': 1.419432}
298,2009-08-01,{'GBP': 0.854837}
299,2009-08-01,{'JPY': 135.206239}
300,2009-08-01,{'CNY': 9.696947}
301,2010-08-01,{'USD': 1.30397}
302,2010-08-01,{'GBP': 0.83351}
303,2010-08-01,{'JPY': 112.736245}
304,2010-08-01,{'CNY': 8.838322}
305,2011-08-01,{'USD': 1.426766}
306,2011-08-01,{'GBP': 0.873694}
307,2011-08-01,{'JPY': 109.752676}
308,2011-08-01,{'CNY': 9.180731}
309,2012-08-01,{'USD': 1.226112}
310,2012-08-01,{'GBP': 0.786924}
311,2012-08-01,{'JPY': 96.019314}
312,2012-08-01,{'CNY': 7.808773}
313,2013-08-01,{'USD': 1.321978}
314,2013-08-01,{'GBP': 0.873284}
315,2013-08-01,{'JPY': 130.912525}
316,2013-08-01,{'CNY': 8.118407}
317,2014-08-01,{'USD': 1.342868}
318,2014-08-01,{'GBP': 0.798287}
319,2014-08-01,{'JPY': 137.84671}
320,2014-08-01,{'CNY': 8.297014}
321,2005-09-01,{'USD': 1.24598}
322,2005-09-01,{'GBP': 0.683036}
323,2005-09-01,{'JPY': 137.28671}
324,2005-09-01,{'CNY': 10.086105}
325,2006-09-01,{'USD': 1.283005}
326,2006-09-01,{'GBP': 0.673462}
327,2006-09-01,{'JPY': 150.347902}
328,2006-09-01,{'CNY': 10.205017}
329,2007-09-01,{'USD': 1.366436}
330,2007-09-01,{'GBP': 0.676778}
331,2007-09-01,{'JPY': 158.510796}
332,2007-09-01,{'CNY': 10.309746}
333,2008-09-01,{'USD': 1.462553}
334,2008-09-01,{'GBP': 0.810202}
335,2008-09-01,{'JPY': 158.143554}
336,2008-09-01,{'CNY': 9.988058}
337,2009-09-01,{'USD': 1.4237}
338,2009-09-01,{'GBP': 0.879273}
339,2009-09-01,{'JPY': 132.45878}
340,2009-09-01,{'CNY': 9.724034}
341,2010-09-01,{'USD': 1.280557}
342,2010-09-01,{'GBP': 0.829463}
343,2010-09-01,{'JPY': 107.950853}
344,2010-09-01,{'CNY': 8.721855}
345,2011-09-01,{'USD': 1.427489}
346,2011-09-01,{'GBP': 0.881693}
347,2011-09-01,{'JPY': 109.807116}
348,2011-09-01,{'CNY': 9.109004}
349,2012-09-01,{'USD': 1.257741}
350,2012-09-01,{'GBP': 0.792475}
351,2012-09-01,{'JPY': 98.567339}
352,2012-09-01,{'CNY': 7.985897}
353,2013-09-01,{'USD': 1.321002}
354,2013-09-01,{'GBP': 0.851758}
355,2013-09-01,{'JPY': 129.832274}
356,2013-09-01,{'CNY': 8.094186}
357,2014-09-01,{'USD': 1.312927}
358,2014-09-01,{'GBP': 0.790414}
359,2014-09-01,{'JPY': 136.914517}
360,2014-09-01,{'CNY': 8.070084}
361,2005-10-01,{'USD': 1.202987}
362,2005-10-01,{'GBP': 0.681739}
363,2005-10-01,{'JPY': 136.384649}
364,2005-10-01,{'CNY': 9.73458}
365,2006-10-01,{'USD': 1.266873}
366,2006-10-01,{'GBP': 0.677656}
367,2006-10-01,{'JPY': 149.533902}
368,2006-10-01,{'CNY': 10.015524}
369,2007-10-01,{'USD': 1.423415}
370,2007-10-01,{'GBP': 0.696816}
371,2007-10-01,{'JPY': 164.836642}
372,2007-10-01,{'CNY': 10.689711}
373,2008-10-01,{'USD': 1.406228}
374,2008-10-01,{'GBP': 0.791148}
375,2008-10-01,{'JPY': 149.099478}
376,2008-10-01,{'CNY': 9.630476}
377,2009-10-01,{'USD': 1.453066}
378,2009-10-01,{'GBP': 0.910946}
379,2009-10-01,{'JPY': 130.513647}
380,2009-10-01,{'CNY': 9.920078}
381,2010-10-01,{'USD': 1.376356}
382,2010-10-01,{'GBP': 0.869684}
383,2010-10-01,{'JPY': 114.599886}
384,2010-10-01,{'CNY': 9.209662}
385,2011-10-01,{'USD': 1.344496}
386,2011-10-01,{'GBP': 0.862817}
387,2011-10-01,{'JPY': 103.467013}
388,2011-10-01,{'CNY': 8.584162}
389,2012-10-01,{'USD': 1.288902}
390,2012-10-01,{'GBP': 0.798945}
391,2012-10-01,{'JPY': 100.533317}
392,2012-10-01,{'CNY': 8.100252}
393,2013-10-01,{'USD': 1.352404}
394,2013-10-01,{'GBP': 0.836301}
395,2013-10-01,{'JPY': 132.657451}
396,2013-10-01,{'CNY': 8.283874}
397,2014-10-01,{'USD': 1.261914}
398,2014-10-01,{'GBP': 0.779637}
399,2014-10-01,{'JPY': 137.744229}
400,2014-10-01,{'CNY': 7.750468}
401,2005-11-01,{'USD': 1.200047}
402,2005-11-01,{'GBP': 0.679856}
403,2005-11-01,{'JPY': 139.956581}
404,2005-11-01,{'CNY': 9.703592}
405,2006-11-01,{'USD': 1.276621}
406,2006-11-01,{'GBP': 0.668703}
407,2006-11-01,{'JPY': 149.35361}
408,2006-11-01,{'CNY': 10.049634}
409,2007-11-01,{'USD': 1.444569}
410,2007-11-01,{'GBP': 0.693465}
411,2007-11-01,{'JPY': 166.183427}
412,2007-11-01,{'CNY': 10.770572}
413,2008-11-01,{'USD': 1.275767}
414,2008-11-01,{'GBP': 0.78864}
415,2008-11-01,{'JPY': 125.445628}
416,2008-11-01,{'CNY': 8.728507}
417,2009-11-01,{'USD': 1.476477}
418,2009-11-01,{'GBP': 0.894661}
419,2009-11-01,{'JPY': 133.593904}
420,2009-11-01,{'CNY': 10.083229}
421,2010-11-01,{'USD': 1.38923}
422,2010-11-01,{'GBP': 0.86555}
423,2010-11-01,{'JPY': 111.874502}
424,2010-11-01,{'CNY': 9.304239}
425,2011-11-01,{'USD': 1.36729}
426,2011-11-01,{'GBP': 0.857787}
427,2011-11-01,{'JPY': 107.032892}
428,2011-11-01,{'CNY': 8.68933}
429,2012-11-01,{'USD': 1.294038}
430,2012-11-01,{'GBP': 0.8018}
431,2012-11-01,{'JPY': 103.645126}
432,2012-11-01,{'CNY': 8.07933}
433,2013-11-01,{'USD': 1.354335}
434,2013-11-01,{'GBP': 0.849537}
435,2013-11-01,{'JPY': 133.490013}
436,2013-11-01,{'CNY': 8.266018}
437,2014-11-01,{'USD': 1.252477}
438,2014-11-01,{'GBP': 0.782946}
439,2014-11-01,{'JPY': 140.339146}
440,2014-11-01,{'CNY': 7.662642}
441,2005-12-01,{'USD': 1.17252}
442,2005-12-01,{'GBP': 0.678074}
443,2005-12-01,{'JPY': 141.230889}
444,2005-12-01,{'CNY': 9.474046}
445,2006-12-01,{'USD': 1.331278}
446,2006-12-01,{'GBP': 0.673866}
447,2006-12-01,{'JPY': 153.927299}
448,2006-12-01,{'CNY': 10.430784}
449,2007-12-01,{'USD': 1.469873}
450,2007-12-01,{'GBP': 0.713094}
451,2007-12-01,{'JPY': 163.057094}
452,2007-12-01,{'CNY': 10.878142}
453,2008-12-01,{'USD': 1.26484}
454,2008-12-01,{'GBP': 0.847792}
455,2008-12-01,{'JPY': 118.466521}
456,2008-12-01,{'CNY': 8.708866}
457,2009-12-01,{'USD': 1.50901}
458,2009-12-01,{'GBP': 0.908811}
459,2009-12-01,{'JPY': 130.906873}
460,2009-12-01,{'CNY': 10.30251}
461,2010-12-01,{'USD': 1.31355}
462,2010-12-01,{'GBP': 0.840966}
463,2010-12-01,{'JPY': 110.49819}
464,2010-12-01,{'CNY': 8.752748}
465,2011-12-01,{'USD': 1.347397}
466,2011-12-01,{'GBP': 0.858447}
467,2011-12-01,{'JPY': 104.659436}
468,2011-12-01,{'CNY': 8.577905}
469,2012-12-01,{'USD': 1.298858}
470,2012-12-01,{'GBP': 0.810988}
471,2012-12-01,{'JPY': 107.017645}
472,2012-12-01,{'CNY': 8.101238}
473,2013-12-01,{'USD': 1.359019}
474,2013-12-01,{'GBP': 0.829977}
475,2013-12-01,{'JPY': 139.254578}
476,2013-12-01,{'CNY': 8.290846}
477,2014-12-01,{'USD': 1.247301}
478,2014-12-01,{'GBP': 0.792686}
479,2014-12-01,{'JPY': 147.651021}
480,2014-12-01,{'CNY': 7.668639}