,Date,Expenditures,Year,Month
0,1/1/2005,"$1,620.00 ",2005,1
1,2/1/2005,"$1,768.00 ",2005,2
2,3/1/2005,"$1,844.00 ",2005,3
3,4/1/2005,"$1,987.00 ",2005,4
4,5/1/2005,"$1,901.00 ",2005,5
5,6/1/2005,"$1,816.00 ",2005,6
6,7/1/2005,"$1,721.00 ",2005,7
7,8/1/2005,"$1,697.00 ",2005,8
8,9/1/2005,"$1,580.00 ",2005,9
9,10/1/2005,"$1,640.00 ",2005,10
10,11/1/2005,"$1,398.00 ",2005,11
11,12/1/2005,"$1,686.00 ",2005,12
12,1/1/2006,"$1,937.00 ",2006,1
13,2/1/2006,"$1,402.00 ",2006,2
14,3/1/2006,"$1,371.00 ",2006,3
15,4/1/2006,"$1,519.00 ",2006,4
16,5/1/2006,"$1,543.00 ",2006,5
17,6/1/2006,"$1,575.00 ",2006,6
18,7/1/2006,"$1,914.00 ",2006,7
19,8/1/2006,"$2,007.00 ",2006,8
20,9/1/2006,"$1,880.00 ",2006,9
21,10/1/2006,"$1,559.00 ",2006,10
22,11/1/2006,"$1,559.00 ",2006,11
23,12/1/2006,"$1,663.00 ",2006,12
24,1/1/2007,"$2,037.00 ",2007,1
25,2/1/2007,"$1,857.00 ",2007,2
26,3/1/2007,"$2,291.00 ",2007,3
27,4/1/2007,"$2,035.00 ",2007,4
28,5/1/2007,"$2,404.00 ",2007,5
29,6/1/2007,"$2,573.00 ",2007,6
30,7/1/2007,"$2,655.00 ",2007,7
31,8/1/2007,"$2,629.00 ",2007,8
32,9/1/2007,"$2,721.00 ",2007,9
33,10/1/2007,"$3,205.00 ",2007,10
34,11/1/2007,"$3,343.00 ",2007,11
35,12/1/2007,"$3,686.00 ",2007,12
36,1/1/2008,"$3,282.00 ",2008,1
37,2/1/2008,"$3,209.00 ",2008,2
38,3/1/2008,"$3,916.00 ",2008,3
39,4/1/2008,"$3,505.00 ",2008,4
40,5/1/2008,"$4,199.00 ",2008,5
41,6/1/2008,"$4,389.00 ",2008,6
42,7/1/2008,"$4,166.00 ",2008,7
43,8/1/2008,"$4,133.00 ",2008,8
44,9/1/2008,"$3,707.00 ",2008,9
45,10/1/2008,"$3,801.00 ",2008,10
46,11/1/2008,"$2,969.00 ",2008,11
47,12/1/2008,"$3,606.00 ",2008,12
48,1/1/2009,"$3,541.00 ",2009,1
49,2/1/2009,"$3,301.00 ",2009,2
50,3/1/2009,"$3,347.00 ",2009,3
51,4/1/2009,"$3,452.00 ",2009,4
52,5/1/2009,"$3,779.00 ",2009,5
53,6/1/2009,"$3,813.00 ",2009,6
54,7/1/2009,"$3,555.00 ",2009,7
55,8/1/2009,"$3,519.00 ",2009,8
56,9/1/2009,"$3,438.00 ",2009,9
57,10/1/2009,"$3,741.00 ",2009,10
58,11/1/2009,"$3,637.00 ",2009,11
59,12/1/2009,"$3,930.00 ",2009,12
60,1/1/2010,"$4,191.00 ",2010,1
61,2/1/2010,"$4,316.00 ",2010,2
62,3/1/2010,"$4,531.00 ",2010,3
63,4/1/2010,"$4,449.00 ",2010,4
64,5/1/2010,"$4,672.00 ",2010,5
65,6/1/2010,"$4,869.00 ",2010,6
66,7/1/2010,"$5,037.00 ",2010,7
67,8/1/2010,"$5,071.00 ",2010,8
68,9/1/2010,"$5,090.00 ",2010,9
69,10/1/2010,"$5,180.00 ",2010,10
70,11/1/2010,"$5,157.00 ",2010,11
71,12/1/2010,"$5,385.00 ",2010,12
72,1/1/2011,"$5,554.00 ",2011,1
73,2/1/2011,"$5,569.00 ",2011,2
74,3/1/2011,"$5,752.00 ",2011,3
75,4/1/2011,"$5,838.00 ",2011,4
76,5/1/2011,"$6,020.00 ",2011,5
77,6/1/2011,"$6,244.00 ",2011,6
78,7/1/2011,"$6,184.00 ",2011,7
79,8/1/2011,"$6,315.00 ",2011,8
80,9/1/2011,"$5,928.00 ",2011,9
81,10/1/2011,"$5,967.00 ",2011,10
82,11/1/2011,"$5,888.00 ",2011,11
83,12/1/2011,"$5,926.00 ",2011,12
84,1/1/2012,"$5,306.00 ",2012,1
85,2/1/2012,"$5,434.00 ",2012,2
86,3/1/2012,"$5,751.00 ",2012,3
87,4/1/2012,"$5,981.00 ",2012,4
88,5/1/2012,"$5,947.00 ",2012,5
89,6/1/2012,"$6,116.00 ",2012,6
90,7/1/2012,"$5,751.00 ",2012,7
91,8/1/2012,"$6,441.00 ",2012,8
92,9/1/2012,"$6,071.00 ",2012,9
93,10/1/2012,"$5,744.00 ",2012,10
94,11/1/2012,"$6,226.00 ",2012,11
95,12/1/2012,"$6,322.00 ",2012,12
96,1/1/2013,"$7,019.00 ",2013,1
97,2/1/2013,"$7,042.00 ",2013,2
98,3/1/2013,"$7,088.00 ",2013,3
99,4/1/2013,"$7,362.00 ",2013,4
100,5/1/2013,"$7,270.00 ",2013,5
101,6/1/2013,"$7,351.00 ",2013,6
102,7/1/2013,"$7,725.00 ",2013,7
103,8/1/2013,"$7,223.00 ",2013,8
104,9/1/2013,"$7,451.00 ",2013,9
105,10/1/2013,"$7,549.00 ",2013,10
106,11/1/2013,"$7,538.00 ",2013,11
107,12/1/2013,"$7,734.00 ",2013,12
108,1/1/2014,"$7,646.00 ",2014,1
109,2/1/2014,"$7,742.00 ",2014,2
110,3/1/2014,"$7,480.00 ",2014,3
111,4/1/2014,"$7,692.00 ",2014,4
112,5/1/2014,"$7,871.00 ",2014,5
113,6/1/2014,"$7,826.00 ",2014,6
114,7/1/2014,"$8,047.00 ",2014,7
115,8/1/2014,"$8,142.00 ",2014,8
116,9/1/2014,"$8,392.00 ",2014,9
117,10/1/2014,"$8,234.00 ",2014,10
118,11/1/2014,"$8,163.00 ",2014,11
119,12/1/2014,"$8,197.00 ",2014,12
