Date,Year,Month,outbound
2005-01,2005,1,"748,042"
2005-02,2005,2,"649,274"
2005-03,2005,3,"992,917"
2005-04,2005,4,"944,616"
2005-05,2005,5,"1,280,025"
2005-06,2005,6,"1,463,636"
2005-07,2005,7,"1,383,904"
2005-08,2005,8,"1,096,385"
2005-09,2005,9,"1,208,755"
2005-10,2005,10,"941,907"
2005-11,2005,11,"811,118"
2005-12,2005,12,"902,504"
2006-01,2006,1,"734,184"
2006-02,2006,2,"638,319"
2006-03,2006,3,"1,025,478"
2006-04,2006,4,"990,345"
2006-05,2006,5,"1,368,704"
2006-06,2006,6,"1,585,248"
2006-07,2006,7,"1,450,854"
2006-08,2006,8,"1,159,246"
2006-09,2006,9,"1,245,357"
2006-10,2006,10,"980,856"
2006-11,2006,11,"816,098"
2006-12,2006,12,"913,995"
2007-01,2007,1,"739,893"
2007-02,2007,2,"626,434"
2007-03,2007,3,"1,041,833"
2007-04,2007,4,"998,978"
2007-05,2007,5,"1,386,300"
2007-06,2007,6,"1,607,434"
2007-07,2007,7,"1,467,596"
2007-08,2007,8,"1,235,953"
2007-09,2007,9,"1,297,046"
2007-10,2007,10,"1,038,804"
2007-11,2007,11,"856,816"
2007-12,2007,12,"954,698"
2008-01,2008,1,"753,241"
2008-02,2008,2,"668,385"
2008-03,2008,3,"982,679"
2008-04,2008,4,"968,486"
2008-05,2008,5,"1,318,802"
2008-06,2008,6,"1,521,619"
2008-07,2008,7,"1,334,096"
2008-08,2008,8,"1,122,497"
2008-09,2008,9,"1,180,564"
2008-10,2008,10,"916,328"
2008-11,2008,11,"765,079"
2008-12,2008,12,"888,886"
2009-01,2009,1,"668,221"
2009-02,2009,2,"568,968"
2009-03,2009,3,"847,090"
2009-04,2009,4,"940,279"
2009-05,2009,5,"1,241,375"
2009-06,2009,6,"1,397,017"
2009-07,2009,7,"1,383,704"
2009-08,2009,8,"1,204,945"
2009-09,2009,9,"1,163,697"
2009-10,2009,10,"920,191"
2009-11,2009,11,"748,994"
2009-12,2009,12,"845,496"
2010-01,2010,1,"664,807"
2010-02,2010,2,"544,768"
2010-03,2010,3,"852,371"
2010-04,2010,4,"761,418"
2010-05,2010,5,"1,232,279"
2010-06,2010,6,"1,545,950"
2010-07,2010,7,"1,239,156"
2010-08,2010,8,"969,046"
2010-09,2010,9,"1,122,203"
2010-10,2010,10,"831,219"
2010-11,2010,11,"640,639"
2010-12,2010,12,"688,213"
2011-01,2011,1,"568,471"
2011-02,2011,2,"414,958"
2011-03,2011,3,"773,308"
2011-04,2011,4,"806,302"
2011-05,2011,5,"1,157,885"
2011-06,2011,6,"1,431,960"
2011-07,2011,7,"1,288,805"
2011-08,2011,8,"1,047,001"
2011-09,2011,9,"1,119,104"
2011-10,2011,10,"844,142"
2011-11,2011,11,"644,948"
2011-12,2011,12,"729,039"
2012-01,2012,1,"580,304"
2012-02,2012,2,"493,931"
2012-03,2012,3,"823,312"
2012-04,2012,4,"832,117"
2012-05,2012,5,"1,213,377"
2012-06,2012,6,"1,498,656"
2012-07,2012,7,"1,299,502"
2012-08,2012,8,"1,126,098"
2012-09,2012,9,"1,138,691"
2012-10,2012,10,"852,344"
2012-11,2012,11,"646,447"
2012-12,2012,12,"739,858"
2013-01,2013,1,"563,169"
2013-02,2013,2,"480,637"
2013-03,2013,3,"797,405"
2013-04,2013,4,"815,393"
2013-05,2013,5,"1,206,206"
2013-06,2013,6,"1,549,743"
2013-07,2013,7,"1,331,766"
2013-08,2013,8,"1,161,706"
2013-09,2013,9,"1,169,406"
2013-10,2013,10,"885,104"
2013-11,2013,11,"660,011"
2013-12,2013,12,"787,442"
2014-01,2014,1,"577,691"
2014-02,2014,2,"497,003"
2014-03,2014,3,"806,663"
2014-04,2014,4,"868,367"
2014-05,2014,5,"1,305,842"
2014-06,2014,6,"1,614,486"
2014-07,2014,7,"1,413,798"
2014-08,2014,8,"1,185,907"
2014-09,2014,9,"1,241,537"
2014-10,2014,10,"915,090"
2014-11,2014,11,"675,275"
2014-12,2014,12,"790,557"